item_url,ts,platform,top_buy_avg,buy_count,top_sell_avg,sell_count,error
equinox_prime_neuroptics_blueprint,2025-09-01T02:02:46+00:00,pc,4.0,2.0,5.333,22.0,
equinox_prime_set,2025-09-01T02:02:46+00:00,pc,46.333,13.0,50.0,65.0,
equinox_prime_systems_blueprint,2025-09-01T02:02:47+00:00,pc,19.0,10.0,28.0,12.0,
euphona_prime_barrel,2025-09-01T02:02:48+00:00,pc,5.0,1.0,5.667,13.0,
euphona_prime_blueprint,2025-09-01T02:02:49+00:00,pc,,0.0,4.333,10.0,
euphona_prime_receiver,2025-09-01T02:02:50+00:00,pc,21.667,4.0,56.667,5.0,
euphona_prime_set,2025-09-01T02:02:51+00:00,pc,28.667,4.0,49.667,22.0,
fang_prime_blade,2025-09-01T02:02:52+00:00,pc,,0.0,2.667,9.0,
fang_prime_blueprint,2025-09-01T02:02:53+00:00,pc,,0.0,1.0,16.0,
fang_prime_handle,2025-09-01T02:02:53+00:00,pc,,0.0,2.0,17.0,
fang_prime_set,2025-09-01T02:02:54+00:00,pc,6.0,2.0,8.667,30.0,
fragor_prime_blueprint,2025-09-01T02:02:55+00:00,pc,8.0,1.0,10.0,6.0,
fragor_prime_handle,2025-09-01T02:02:56+00:00,pc,,0.0,10.0,7.0,
fragor_prime_head,2025-09-01T02:02:56+00:00,pc,5.0,1.0,8.0,7.0,
fragor_prime_set,2025-09-01T02:02:57+00:00,pc,25.0,3.0,38.0,19.0,
frost_prime_blueprint,2025-09-01T02:02:58+00:00,pc,33.667,10.0,50.0,13.0,
frost_prime_chassis_blueprint,2025-09-01T02:02:59+00:00,pc,10.0,6.0,16.0,17.0,
frost_prime_neuroptics_blueprint,2025-09-01T02:02:59+00:00,pc,5.0,1.0,8.333,25.0,
frost_prime_set,2025-09-01T02:03:00+00:00,pc,85.667,12.0,90.0,42.0,
frost_prime_systems_blueprint,2025-09-01T02:03:01+00:00,pc,6.333,4.0,14.333,16.0,
fulmin_prime_barrel,2025-09-01T02:03:02+00:00,pc,,0.0,2.667,12.0,
fulmin_prime_blueprint,2025-09-01T02:03:03+00:00,pc,2.0,1.0,3.333,8.0,
fulmin_prime_receiver,2025-09-01T02:03:03+00:00,pc,6.0,1.0,20.0,8.0,
fulmin_prime_set,2025-09-01T02:03:04+00:00,pc,18.333,9.0,29.333,29.0,
fulmin_prime_stock,2025-09-01T02:03:05+00:00,pc,1.5,2.0,4.667,9.0,
galatine_prime_blade,2025-09-01T02:03:06+00:00,pc,,0.0,6.0,6.0,
galatine_prime_blueprint,2025-09-01T02:03:07+00:00,pc,17.667,4.0,40.0,3.0,
galatine_prime_handle,2025-09-01T02:03:07+00:00,pc,4.0,1.0,8.667,10.0,
galatine_prime_set,2025-09-01T02:03:08+00:00,pc,35.667,4.0,52.333,14.0,
gara_prime_blueprint,2025-09-01T02:03:09+00:00,pc,21.667,7.0,39.667,11.0,
gara_prime_chassis_blueprint,2025-09-01T02:03:09+00:00,pc,5.333,3.0,10.667,18.0,
gara_prime_neuroptics_blueprint,2025-09-01T02:03:10+00:00,pc,5.0,1.0,7.0,17.0,
gara_prime_set,2025-09-01T02:03:11+00:00,pc,55.667,17.0,68.0,52.0,
gara_prime_systems_blueprint,2025-09-01T02:03:12+00:00,pc,,0.0,5.0,19.0,
garuda_prime_blueprint,2025-09-01T02:03:13+00:00,pc,2.0,1.0,4.333,18.0,
garuda_prime_chassis_blueprint,2025-09-01T02:03:14+00:00,pc,3.0,1.0,7.333,15.0,
garuda_prime_neuroptics_blueprint,2025-09-01T02:03:14+00:00,pc,14.0,6.0,23.333,11.0,
garuda_prime_set,2025-09-01T02:03:15+00:00,pc,67.0,11.0,81.0,27.0,
garuda_prime_systems_blueprint,2025-09-01T02:03:16+00:00,pc,34.667,14.0,44.667,11.0,
gauss_prime_blueprint,2025-09-01T02:03:17+00:00,pc,,0.0,2.0,34.0,
gauss_prime_chassis_blueprint,2025-09-01T02:03:18+00:00,pc,3.0,1.0,1.667,39.0,
gauss_prime_neuroptics_blueprint,2025-09-01T02:03:19+00:00,pc,4.333,4.0,5.333,17.0,
gauss_prime_set,2025-09-01T02:03:20+00:00,pc,26.667,29.0,29.0,90.0,
gauss_prime_systems_blueprint,2025-09-01T02:03:21+00:00,pc,12.0,12.0,19.333,14.0,
glaive_prime_blade,2025-09-01T02:03:22+00:00,pc,9.0,2.0,18.333,13.0,
glaive_prime_blueprint,2025-09-01T02:03:23+00:00,pc,10.333,3.0,17.667,22.0,
glaive_prime_disc,2025-09-01T02:03:24+00:00,pc,,0.0,9.333,17.0,
glaive_prime_set,2025-09-01T02:03:25+00:00,pc,65.0,10.0,76.333,51.0,
gram_prime_blade,2025-09-01T02:03:26+00:00,pc,5.0,1.0,7.333,9.0,
gram_prime_blueprint,2025-09-01T02:03:27+00:00,pc,,0.0,4.333,12.0,
gram_prime_handle,2025-09-01T02:03:27+00:00,pc,5.0,1.0,15.667,14.0,
gram_prime_set,2025-09-01T02:03:28+00:00,pc,22.333,10.0,28.333,40.0,
grendel_prime_blueprint,2025-09-01T02:03:29+00:00,pc,7.333,9.0,9.667,14.0,
grendel_prime_chassis_blueprint,2025-09-01T02:03:29+00:00,pc,2.0,1.0,1.667,43.0,
grendel_prime_neuroptics_blueprint,2025-09-01T02:03:30+00:00,pc,,0.0,1.333,22.0,
grendel_prime_set,2025-09-01T02:03:31+00:00,pc,31.667,11.0,36.667,58.0,
grendel_prime_systems_blueprint,2025-09-01T02:03:32+00:00,pc,14.333,11.0,18.0,17.0,
guandao_prime_blade,2025-09-01T02:03:33+00:00,pc,4.333,4.0,10.667,10.0,
guandao_prime_blueprint,2025-09-01T02:03:33+00:00,pc,,0.0,5.333,13.0,
guandao_prime_handle,2025-09-01T02:03:35+00:00,pc,11.0,2.0,20.667,5.0,
guandao_prime_set,2025-09-01T02:03:35+00:00,pc,27.333,3.0,50.333,27.0,
gunsen_prime_blade,2025-09-01T02:03:36+00:00,pc,5.0,2.0,13.333,9.0,
gunsen_prime_blueprint,2025-09-01T02:03:37+00:00,pc,,0.0,2.0,13.0,
gunsen_prime_handle,2025-09-01T02:03:38+00:00,pc,2.0,1.0,5.333,8.0,
gunsen_prime_set,2025-09-01T02:03:39+00:00,pc,23.333,4.0,40.0,30.0,
harrow_prime_blueprint,2025-09-01T02:03:39+00:00,pc,2.0,2.0,4.667,22.0,
harrow_prime_chassis_blueprint,2025-09-01T02:03:40+00:00,pc,4.333,3.0,10.0,9.0,
harrow_prime_neuroptics_blueprint,2025-09-01T02:03:41+00:00,pc,,0.0,7.0,25.0,
harrow_prime_set,2025-09-01T02:03:41+00:00,pc,50.0,12.0,60.0,47.0,
harrow_prime_systems_blueprint,2025-09-01T02:03:42+00:00,pc,22.0,11.0,39.0,10.0,
helios_prime_blueprint,2025-09-01T02:03:43+00:00,pc,,0.0,4.667,15.0,
helios_prime_carapace,2025-09-01T02:03:44+00:00,pc,,0.0,4.667,12.0,
helios_prime_cerebrum,2025-09-01T02:03:44+00:00,pc,17.0,4.0,38.667,8.0,
helios_prime_set,2025-09-01T02:03:45+00:00,pc,38.0,2.0,60.0,23.0,
helios_prime_systems,2025-09-01T02:03:46+00:00,pc,,0.0,10.0,5.0,
hikou_prime_blueprint,2025-09-01T02:03:47+00:00,pc,3.0,1.0,5.333,10.0,
hikou_prime_pouch,2025-09-01T02:03:48+00:00,pc,5.0,2.0,10.667,10.0,
hikou_prime_set,2025-09-01T02:03:48+00:00,pc,26.667,5.0,48.333,18.0,
hikou_prime_stars,2025-09-01T02:03:49+00:00,pc,6.0,3.0,9.0,11.0,
hildryn_prime_blueprint,2025-09-01T02:03:50+00:00,pc,23.667,14.0,36.333,14.0,
hildryn_prime_chassis_blueprint,2025-09-01T02:03:50+00:00,pc,4.0,2.0,6.0,28.0,
