item_url,ts,top_buy_avg,buy_count,top_sell_avg,sell_count,platform,weekly_volume_est
modified_munitions,2025-08-12T21:42:52Z,,0,4.333,14,pc,7
natural_talent,2025-08-12T21:42:53Z,1.0,1,7.333,57,pc,154
flechette,2025-08-12T21:42:54Z,,0,13.0,7,pc,8
shimmering_blight,2025-08-12T21:42:54Z,,0,2.667,22,pc,34
justice_blades,2025-08-12T21:42:55Z,,0,13.333,12,pc,13
buzz_kill,2025-08-12T21:42:56Z,10.0,1,10.333,25,pc,71
pyrana_prime_blueprint,2025-08-12T21:42:57Z,13.667,5,25.0,6,pc,108
pyrana_prime_receiver,2025-08-12T21:42:57Z,1.0,1,6.667,10,pc,108
pyrana_prime_barrel,2025-08-12T21:42:58Z,2.0,2,3.667,21,pc,71
destreza_prime_set,2025-08-12T21:42:59Z,20.0,8,51.667,29,pc,130
primed_expel_grineer,2025-08-12T21:43:00Z,77.0,8,51.667,24,pc,26
primed_expel_corpus,2025-08-12T21:43:01Z,68.667,7,75.0,17,pc,21
primed_expel_infested,2025-08-12T21:43:02Z,57.667,5,61.667,21,pc,10
primed_expel_corrupted,2025-08-12T21:43:03Z,83.0,8,58.333,25,pc,23
flame_gland,2025-08-12T21:43:03Z,13.667,6,32.667,17,pc,93
smooth_phasmin,2025-08-12T21:43:04Z,,0,1.333,9,pc,87
arcane_pulse,2025-08-12T21:43:05Z,,0,2.0,33,pc,47
sudden_justice,2025-08-12T21:43:06Z,,0,100.0,3,pc,4
blood_rush,2025-08-12T21:43:07Z,46.0,7,9.667,51,pc,464
shrapnel_shot,2025-08-12T21:43:07Z,,0,5.667,10,pc,31
coolant_leak,2025-08-12T21:43:08Z,,0,11.667,21,pc,97
primed_heated_charge,2025-08-12T21:43:09Z,100.0,13,60.0,38,pc,199
neutron_star,2025-08-12T21:43:10Z,,0,11.667,27,pc,128
skull_shots,2025-08-12T21:43:11Z,,0,10.0,12,pc,10
loki_prime_neuroptics_blueprint,2025-08-12T21:43:12Z,10.667,6,17.333,14,pc,132
vigilante_fervor,2025-08-12T21:43:13Z,,0,6.667,28,pc,71
ankyros_prime_blade,2025-08-12T21:43:14Z,3.667,3,7.667,22,pc,97
ankyros_prime_gauntlet,2025-08-12T21:43:14Z,2.0,1,10.0,11,pc,113
bo_prime_blueprint,2025-08-12T21:43:15Z,1.0,2,14.667,10,pc,136
silva_and_aegis_prime_guard,2025-08-12T21:43:16Z,5.0,1,18.0,8,pc,106
vicious_frost,2025-08-12T21:43:17Z,,0,6.333,45,pc,223
jagged_edge,2025-08-12T21:43:18Z,,0,3.0,34,pc,16
shield_disruption,2025-08-12T21:43:19Z,,0,11.0,18,pc,21
magus_vigor,2025-08-12T21:43:20Z,,0,2.667,21,pc,30
shotgun_barrage,2025-08-12T21:43:21Z,,0,3.333,17,pc,25
arcane_swindle_helmet,2025-08-12T21:43:22Z,,0,329.333,8,pc,12
gladiator_vice,2025-08-12T21:43:22Z,6.333,4,10.0,16,pc,136
arcane_meridian_helmet,2025-08-12T21:43:23Z,,0,366.5,2,pc,9
