set_url,platform,part_url,quantity_for_set,unit_cost_latest,buy_med_latest,sell_med_latest,sell_depth_med_latest,latest_date_part,unit_cost_source
gauss_prime_set,pc,gauss_prime_systems_blueprint,1,14.667,14.667,19.667,6.0,2025-09-18 00:00:00+00:00,BUY
glaive_prime_set,pc,glaive_prime_blade,2,12.0,12.0,20.0,8.0,2025-09-18 00:00:00+00:00,BUY
glaive_prime_set,pc,glaive_prime_blueprint,1,11.5,11.5,19.667,14.0,2025-09-18 00:00:00+00:00,BUY
glaive_prime_set,pc,glaive_prime_disc,1,3.0,3.0,10.0,15.0,2025-09-18 00:00:00+00:00,BUY
gram_prime_set,pc,gram_prime_blade,1,8.0,,8.0,13.0,2025-09-18 00:00:00+00:00,SELL
gram_prime_set,pc,gram_prime_blueprint,1,4.667,,4.667,10.0,2025-09-18 00:00:00+00:00,SELL
gram_prime_set,pc,gram_prime_handle,1,9.0,9.0,14.667,16.0,2025-09-18 00:00:00+00:00,BUY
grendel_prime_set,pc,grendel_prime_blueprint,1,7.0,7.0,10.0,15.0,2025-09-18 00:00:00+00:00,BUY
grendel_prime_set,pc,grendel_prime_chassis_blueprint,1,1.0,1.0,3.667,20.0,2025-09-18 00:00:00+00:00,BUY
grendel_prime_set,pc,grendel_prime_neuroptics_blueprint,1,3.0,3.0,4.667,17.0,2025-09-18 00:00:00+00:00,BUY
grendel_prime_set,pc,grendel_prime_systems_blueprint,1,13.333,13.333,29.0,5.0,2025-09-18 00:00:00+00:00,BUY
guandao_prime_set,pc,guandao_prime_blade,2,4.0,4.0,7.5,9.5,2025-09-18 00:00:00+00:00,BUY
guandao_prime_set,pc,guandao_prime_blueprint,1,4.667,,4.667,12.0,2025-09-18 00:00:00+00:00,SELL
guandao_prime_set,pc,guandao_prime_handle,1,10.8335,10.8335,18.0,11.5,2025-09-18 00:00:00+00:00,BUY
gunsen_prime_set,pc,gunsen_prime_blade,2,7.333,7.333,11.0,10.0,2025-09-18 00:00:00+00:00,BUY
gunsen_prime_set,pc,gunsen_prime_blueprint,1,2.333,,2.333,14.0,2025-09-18 00:00:00+00:00,SELL
gunsen_prime_set,pc,gunsen_prime_handle,2,1.0,1.0,4.667,7.0,2025-09-18 00:00:00+00:00,BUY
harrow_prime_set,pc,harrow_prime_blueprint,1,2.5,2.5,5.667,17.0,2025-09-18 00:00:00+00:00,BUY
harrow_prime_set,pc,harrow_prime_chassis_blueprint,1,3.5,3.5,11.0,8.0,2025-09-18 00:00:00+00:00,BUY
harrow_prime_set,pc,harrow_prime_neuroptics_blueprint,1,1.0,1.0,9.667,13.0,2025-09-18 00:00:00+00:00,BUY
harrow_prime_set,pc,harrow_prime_systems_blueprint,1,24.0,24.0,34.0,6.0,2025-09-18 00:00:00+00:00,BUY
helios_prime_set,pc,helios_prime_blueprint,1,7.333,,7.333,12.0,2025-09-18 00:00:00+00:00,SELL
helios_prime_set,pc,helios_prime_carapace,1,4.0,4.0,4.667,13.0,2025-09-18 00:00:00+00:00,BUY
helios_prime_set,pc,helios_prime_cerebrum,1,14.667,14.667,38.0,8.0,2025-09-18 00:00:00+00:00,BUY
helios_prime_set,pc,helios_prime_systems,1,6.0,6.0,,0.0,2025-09-18 00:00:00+00:00,BUY
hikou_prime_set,pc,hikou_prime_blueprint,1,2.0,2.0,6.667,4.0,2025-09-18 00:00:00+00:00,BUY
hikou_prime_set,pc,hikou_prime_pouch,2,3.0,3.0,10.0,8.0,2025-09-18 00:00:00+00:00,BUY
