item_url,ts,platform,top_buy_avg,buy_count,top_sell_avg,sell_count
garuda_prime_chassis_blueprint,2025-10-01T01:55:46+00:00,pc,,0,6.0,4
garuda_prime_neuroptics_blueprint,2025-10-01T01:55:46+00:00,pc,10.0,2,66.333,3
garuda_prime_set,2025-10-01T01:55:47+00:00,pc,76.333,11,83.333,18
garuda_prime_systems_blueprint,2025-10-01T01:55:48+00:00,pc,35.0,13,41.667,9
gauss_prime_blueprint,2025-10-01T01:55:49+00:00,pc,1.0,1,2.0,30
gauss_prime_chassis_blueprint,2025-10-01T01:55:50+00:00,pc,2.0,5,1.667,20
gauss_prime_neuroptics_blueprint,2025-10-01T01:55:50+00:00,pc,4.0,2,7.0,16
gauss_prime_set,2025-10-01T01:55:51+00:00,pc,32.667,22,32.0,48
gauss_prime_systems_blueprint,2025-10-01T01:55:52+00:00,pc,15.333,10,20.667,9
glaive_prime_blade,2025-10-01T01:55:53+00:00,pc,9.333,3,33.333,4
glaive_prime_blueprint,2025-10-01T01:55:54+00:00,pc,10.333,5,20.0,9
glaive_prime_disc,2025-10-01T01:55:54+00:00,pc,5.0,1,5.667,7
glaive_prime_set,2025-10-01T01:55:55+00:00,pc,64.667,7,77.667,27
gram_prime_blade,2025-10-01T01:55:56+00:00,pc,,0,7.667,7
gram_prime_blueprint,2025-10-01T01:55:57+00:00,pc,,0,4.0,17
gram_prime_handle,2025-10-01T01:55:57+00:00,pc,10.0,2,18.0,6
gram_prime_set,2025-10-01T01:55:58+00:00,pc,18.0,1,26.667,39
grendel_prime_blueprint,2025-10-01T01:55:59+00:00,pc,7.333,7,13.333,7
grendel_prime_chassis_blueprint,2025-10-01T01:56:00+00:00,pc,2.0,1,2.0,18
grendel_prime_neuroptics_blueprint,2025-10-01T01:56:00+00:00,pc,2.5,2,4.0,12
grendel_prime_set,2025-10-01T01:56:01+00:00,pc,31.333,8,44.667,37
grendel_prime_systems_blueprint,2025-10-01T01:56:02+00:00,pc,11.0,5,24.0,6
guandao_prime_blade,2025-10-01T01:56:03+00:00,pc,3.0,1,9.0,8
guandao_prime_blueprint,2025-10-01T01:56:03+00:00,pc,1.0,1,4.667,9
guandao_prime_handle,2025-10-01T01:56:04+00:00,pc,,0,28.333,5
guandao_prime_set,2025-10-01T01:56:05+00:00,pc,32.5,2,55.0,15
gunsen_prime_blade,2025-10-01T01:56:06+00:00,pc,5.333,3,10.0,5
gunsen_prime_blueprint,2025-10-01T01:56:06+00:00,pc,3.0,1,9.667,5
gunsen_prime_handle,2025-10-01T01:56:07+00:00,pc,,0,6.0,10
gunsen_prime_set,2025-10-01T01:56:08+00:00,pc,24.667,6,39.0,16
harrow_prime_blueprint,2025-10-01T01:56:09+00:00,pc,3.0,1,4.667,15
harrow_prime_chassis_blueprint,2025-10-01T01:56:09+00:00,pc,3.0,1,22.5,2
harrow_prime_neuroptics_blueprint,2025-10-01T01:56:10+00:00,pc,3.0,1,10.0,10
harrow_prime_set,2025-10-01T01:56:11+00:00,pc,53.667,10,68.0,30
harrow_prime_systems_blueprint,2025-10-01T01:56:12+00:00,pc,22.667,7,46.0,4
helios_prime_blueprint,2025-10-01T01:56:12+00:00,pc,,0,6.667,9
helios_prime_carapace,2025-10-01T01:56:13+00:00,pc,,0,4.0,9
helios_prime_cerebrum,2025-10-01T01:56:14+00:00,pc,22.667,4,27.333,5
helios_prime_set,2025-10-01T01:56:14+00:00,pc,43.333,5,57.333,23
helios_prime_systems,2025-10-01T01:56:15+00:00,pc,,0,10.0,9
hikou_prime_blueprint,2025-10-01T01:56:17+00:00,pc,,0,7.667,3
hikou_prime_pouch,2025-10-01T01:56:17+00:00,pc,,0,24.0,3
hikou_prime_set,2025-10-01T01:56:18+00:00,pc,28.333,4,51.0,16
hikou_prime_stars,2025-10-01T01:56:19+00:00,pc,,0,9.333,6
hildryn_prime_blueprint,2025-10-01T01:56:20+00:00,pc,28.0,15,36.0,10
hildryn_prime_chassis_blueprint,2025-10-01T01:56:20+00:00,pc,2.333,3,6.333,11
hildryn_prime_neuroptics_blueprint,2025-10-01T01:56:21+00:00,pc,2.5,2,8.0,5
hildryn_prime_set,2025-10-01T01:56:21+00:00,pc,42.333,10,55.0,34
hildryn_prime_systems_blueprint,2025-10-01T01:56:22+00:00,pc,1.0,2,2.667,14
hydroid_prime_blueprint,2025-10-01T01:56:23+00:00,pc,10.5,2,17.333,8
hydroid_prime_chassis_blueprint,2025-10-01T01:56:24+00:00,pc,5.0,1,8.0,15
hydroid_prime_neuroptics_blueprint,2025-10-01T01:56:25+00:00,pc,,0,19.333,9
hydroid_prime_set,2025-10-01T01:56:25+00:00,pc,86.0,7,103.333,14
hydroid_prime_systems_blueprint,2025-10-01T01:56:26+00:00,pc,22.0,5,41.667,8
hystrix_prime_barrel,2025-10-01T01:56:27+00:00,pc,,0,4.667,7
hystrix_prime_blueprint,2025-10-01T01:56:27+00:00,pc,,0,5.0,10
hystrix_prime_receiver,2025-10-01T01:56:28+00:00,pc,,0,21.0,3
hystrix_prime_set,2025-10-01T01:56:29+00:00,pc,11.0,2,25.0,15
inaros_prime_blueprint,2025-10-01T01:56:29+00:00,pc,,0,8.0,4
inaros_prime_chassis_blueprint,2025-10-01T01:56:30+00:00,pc,,0,5.0,8
inaros_prime_neuroptics_blueprint,2025-10-01T01:56:31+00:00,pc,26.667,11,39.333,8
inaros_prime_set,2025-10-01T01:56:31+00:00,pc,49.0,11,60.667,18
inaros_prime_systems_blueprint,2025-10-01T01:56:32+00:00,pc,,0,7.333,12
ivara_prime_blueprint,2025-10-01T01:56:33+00:00,pc,4.0,3,7.0,15
ivara_prime_chassis_blueprint,2025-10-01T01:56:33+00:00,pc,20.0,2,38.0,5
ivara_prime_neuroptics_blueprint,2025-10-01T01:56:34+00:00,pc,3.0,1,7.333,6
ivara_prime_set,2025-10-01T01:56:36+00:00,pc,53.667,6,64.333,29
ivara_prime_systems_blueprint,2025-10-01T01:56:37+00:00,pc,4.667,3,9.333,5
karyst_prime_blade,2025-10-01T01:56:37+00:00,pc,,0,15.0,6
karyst_prime_blueprint,2025-10-01T01:56:38+00:00,pc,,0,7.667,7
karyst_prime_handle,2025-10-01T01:56:39+00:00,pc,,0,4.667,5
karyst_prime_set,2025-10-01T01:56:39+00:00,pc,17.667,5,29.333,12
khora_prime_blueprint,2025-10-01T01:56:40+00:00,pc,15.0,4,34.667,6
khora_prime_chassis_blueprint,2025-10-01T01:56:41+00:00,pc,3.0,1,7.0,14
khora_prime_neuroptics_blueprint,2025-10-01T01:56:41+00:00,pc,17.0,8,44.667,5
khora_prime_set,2025-10-01T01:56:42+00:00,pc,71.333,9,78.667,30
khora_prime_systems_blueprint,2025-10-01T01:56:42+00:00,pc,,0,5.333,17
knell_prime_barrel,2025-10-01T01:56:43+00:00,pc,12.5,2,29.333,6
knell_prime_blueprint,2025-10-01T01:56:44+00:00,pc,,0,4.333,12
